Age,Gender,Geography,PreviousPurchases,Salary,NumChildren,Product,EducationLevel,MaritalStatus,EmploymentStatus,HousingStatus,CreditScore,InternetUsage,NumberOfCars,HealthStatus,ShoppingFrequency,MembershipDuration,PurchaseFlag
56,Male,North America,8386.985501314997,42217.50343081521,4,Mobile Phone,Bachelor,Divorced,Employed,Rent,754,1.5458360197483856,0,Fair,6,9,1
69,Female,South America,7391.9240250764,44369.16549222626,3,Mobile Phone,Master,Single,Employed,Own,745,8.005712485253788,0,Good,1,3,1
46,Female,South America,7951.832329227948,85406.3014321589,3,Mobile Phone,High School,Widowed,Unemployed,Own,552,8.154605530926876,1,Fair,5,9,1
32,Female,Africa,2284.841225106648,116197.24094499029,4,Mobile Phone,PhD,Widowed,Retired,Living with Parents,458,1.9388122929286773,1,Fair,17,2,1
60,Male,Asia,6520.780649163087,55461.01441029905,0,Mobile Phone,High School,Married,Employed,Living with Parents,434,7.656888441271582,0,Fair,10,15,0
25,Female,Africa,356.6663535629791,127178.40095764259,3,Mobile Phone,Bachelor,Married,Unemployed,Living with Parents,426,5.535070931539115,2,Fair,9,10,0
38,Female,Europe,8497.468412273203,136019.34723711462,0,Mobile Phone,High School,Single,Retired,Living with Parents,584,1.1133594919579388,1,Fair,14,13,0
56,Female,Europe,9515.325427510312,65569.4033626458,2,Mobile Phone,High School,Single,Unemployed,Own,350,7.2476621374846735,2,Fair,18,1,1
36,Male,South America,6655.02206228935,108576.35006404927,2,Mobile Phone,PhD,Single,Retired,Rent,539,5.147294873145908,0,Excellent,15,8,0
40,Male,South America,5175.429566442421,35216.40823106405,0,Mobile Phone,High School,Single,Student,Living with Parents,378,2.1399673756326925,0,Fair,11,14,0
28,Female,Africa,7284.737784694405,116723.67711315685,4,Mobile Phone,Bachelor,Married,Employed,Own,478,2.582601119572056,2,Excellent,1,16,1
28,Female,Africa,3330.976753423708,41453.10381196044,2,Mobile Phone,Bachelor,Widowed,Student,Own,313,7.819937149412094,0,Excellent,16,1,1
41,Female,North America,6301.239178544126,109364.05449023271,2,Mobile Phone,PhD,Divorced,Retired,Living with Parents,393,9.507568172890773,2,Fair,11,8,1
53,Male,Europe,7217.832099133798,74847.00044982397,3,Mobile Phone,Bachelor,Married,Student,Living with Parents,322,2.475887704708045,2,Poor,2,1,1
57,Male,Africa,1512.539736663757,140699.3218104103,4,Mobile Phone,Bachelor,Married,Student,Own,379,4.621320370317329,1,Poor,13,1,1
41,Male,Asia,1486.6732544162644,80379.87563821164,0,Mobile Phone,Bachelor,Widowed,Employed,Own,643,3.8771341399226715,2,Poor,3,1,1
20,Female,North America,7189.767959371638,24017.36627078731,2,Mobile Phone,Bachelor,Divorced,Student,Living with Parents,704,6.280996041520459,0,Poor,2,4,1
39,Male,Africa,4374.64669223841,82486.97471196661,4,Mobile Phone,Bachelor,Widowed,Retired,Rent,406,2.7572936984888665,0,Fair,1,5,1
19,Female,South America,8903.094834762911,123414.8367017991,2,Mobile Phone,Bachelor,Single,Retired,Rent,759,6.21122330540126,0,Good,13,12,1
41,Female,Africa,3188.1949333526927,104120.96301529049,3,Mobile Phone,Bachelor,Divorced,Student,Living with Parents,664,8.480707986870998,0,Poor,5,6,1
61,Male,South America,520.0642987615811,145620.97555990762,4,Mobile Phone,Master,Married,Employed,Living with Parents,723,6.770059899853037,0,Poor,12,7,1
47,Female,South America,6533.772689392044,129625.42370841696,1,Mobile Phone,Bachelor,Single,Employed,Rent,393,2.748480648094673,1,Good,8,1,0
55,Male,Europe,6873.968343365548,88451.71617668319,3,Mobile Phone,PhD,Single,Student,Own,401,7.740939687855913,1,Excellent,5,13,1
19,Female,Europe,5580.556928889232,46847.67352870175,0,Mobile Phone,Master,Single,Employed,Living with Parents,833,5.141778597451469,1,Good,8,15,1
38,Female,Africa,6864.99319237652,20490.701876876,4,Mobile Phone,Bachelor,Single,Student,Living with Parents,685,2.016348650320951,2,Good,4,12,0
50,Male,Africa,5285.16801029651,147465.31161017786,2,Mobile Phone,Bachelor,Single,Student,Rent,514,3.9441911947506707,1,Poor,13,17,1
29,Female,Asia,6957.064879380551,141981.5607793471,4,Mobile Phone,PhD,Single,Unemployed,Living with Parents,769,3.1731104250256936,2,Good,17,13,1
39,Female,North America,534.9803248964257,55638.71922977507,0,Mobile Phone,Bachelor,Divorced,Student,Own,489,8.590968589201228,2,Good,4,9,0
61,Female,North America,3747.1339651881126,102968.05220908452,4,Mobile Phone,Master,Single,Employed,Own,841,3.042481676439187,1,Good,7,13,0
42,Female,Africa,2187.0874877414776,114801.14317519998,2,Mobile Phone,Master,Divorced,Retired,Living with Parents,454,5.607149761324394,0,Poor,1,17,1
66,Female,Europe,1083.3287722551104,95141.74993423735,3,Mobile Phone,PhD,Divorced,Student,Own,758,6.870783992925723,1,Good,16,19,1
